1447027200,499.999,507.001,499.999,507.001,6.454,8
1447113600,507.0,507.0,445.8246,445.8246,4.7098,5
1447200000,446.0,446.0,406.049,406.049,1.205,4
1447286400,423.6314,539.997,409.0,539.997,5.2856149,23
1447372800,539.997,540.0,500.0,500.0,1.3221896,9
1447718400,450.0,450.0,450.0,450.0,0.1662,1
1447804800,465.0,465.0,465.0,465.0,0.05,2
1447891200,460.0,460.0,444.0,444.0,0.7014913,3
1447977600,444.0,444.0,431.98,431.98,2.9759,6
1448496000,462.4644,462.4644,461.1527,461.1527,13.28161,4
1448582400,477.0,485.0,462.001,485.0,0.90395,6
1448841600,497.5,502.4728,497.5,502.4728,0.81645269,4
1448928000,480.0,485.8926,480.0,485.8926,5.10529302,3
1449014400,474.3298,474.3298,474.3298,474.3298,0.1003,1
1449100800,481.76,489.1724,481.76,486.7026,2.99278,7
1449187200,481.505,482.9635,481.505,482.132,3.5,5
1449273600,494.0006,500.0,494.0006,500.0,0.7024289,2
1449360000,505.001,535.999,505.001,530.3856,0.1471,3
1449446400,525.875,525.875,521.7606,521.7606,1.26280194,2
1449532800,539.0,539.0,539.0,539.0,0.15,1
1449619200,505.53,567.8924,505.001,567.8924,0.86375583,8
1449705600,564.178,569.399,564.178,569.399,1,2
1449792000,588.0408,591.9355,588.0408,591.9355,2,3
1450051200,600.0,600.0,500.0,550.0,4.16118583,12
1450137600,624.999,637.0,555.0,555.0,2.37184631,7
1450224000,645.999,645.999,645.999,645.999,0.25,2
1450310400,645.999,646.0,631.822,631.822,1.41209427,3
1450483200,654.999,654.999,654.999,654.999,0.1106,1
1450569600,654.999,654.999,654.999,654.999,0.21374077,2
1451001600,654.999,656.0,654.999,655.0,0.335146,3
1451088000,610.0,655.0,590.0,590.0,3.38171221,9
1451174400,654.84,654.84,654.84,654.84,0.06108362,1
1451260800,654.0,654.0,587.0,587.0,4.04584345,7
1451347200,592.0,600.0,587.7,600.0,2.24568565,6
1451433600,609.0,640.0,609.0,610.0,3.75442622,5
1451520000,610.0,610.0,603.0,603.0,0.6163836,2
1451606400,610.0,620.0,610.0,620.0,0.91418736,4
1451692800,603.0,640.0,595.0,619.999,0.65998415,7
1451779200,595.0,595.0,595.0,595.0,0.50420168,2
1451865600,595.0,611.0,592.001,611.0,0.44773,4
1451952000,604.501,620.0,604.0,620.0,2.17323021,7
1452038400,618.0,620.0,618.0,620.0,1.55937399,6
1452124800,620.0,687.999,620.0,687.999,1.77940795,11
1452211200,640.0,648.8527,640.0,648.7092,6.278725,8
